...
z=0.7575757575757577 q=-9893.866324644829, c_T=0.0007625454140633654, sigma_T=0.23189935716147678, A=2.765001374623256e-07, D=2.709296399912847e-07, B=6.382641088008903e-06, F=0.028714988004440663
z=0.8686868686868687 q=-3255.4472530107814, c_T=0.0014100947584724422, sigma_T=0.008320813402311484, A=2.672587426930571e-07, D=2.7038457594092913e-07, B=1.2910681705393507e-05, F=0.04200949749799236
z=0.8787878787878789 q=-2913.62109222835, c_T=0.0015413413920856273, sigma_T=0.006191151875615162, A=2.7038457594092913e-07, D=2.735104091888012e-07, B=1.4225835716835638e-05, F=0.04476907239346547
z=0.888888888888889 q=-2599.1925483733894, c_T=0.0016892365240708377, sigma_T=0.004566532490386249, A=2.735104091888011e-07, D=2.7663624243667317e-07, B=1.5717253489523008e-05, F=0.04777690068858894
z=0.8989898989898991 q=-2310.663642143228, c_T=0.001856506209216157, sigma_T=0.0033370887553672572, A=2.7663624243667317e-07, D=2.797620756845452e-07, B=1.7414785484761157e-05, F=0.0510634220815192
z=0.9090909090909092 q=-2048.455834688923, c_T=0.0018999999999999996, sigma_T=0.0025986233762841917, A=2.7976207568454516e-07, D=2.828879089324172e-07, B=1.8009849249998046e-05, F=0.05076978228099092
z=0.9191919191919192 q=-1806.9998329826317, c_T=0.0018999999999999996, sigma_T=0.0020499217752056884, A=2.8288790893241715e-07, D=2.860137421802892e-07, B=1.8209958686109134e-05, F=0.0492343094537925
z=0.9292929292929294 q=-1583.9959175048482, c_T=0.0018999999999999996, sigma_T=0.0015978784456879564, A=2.860137421802892e-07, D=2.8913957542816123e-07, B=1.8410068122220225e-05, F=0.047639037635720166
z=0.9393939393939394 q=-1378.6866260559325, c_T=0.0018999999999999996, sigma_T=0.001228861006025144, A=2.891395754281612e-07, D=2.922654086760332e-07, B=1.8610177558331312e-05, F=0.04598083348197709
z=0.9494949494949496 q=-1190.5627351125445, c_T=0.0018999999999999996, sigma_T=0.000931045262160065, A=2.922654086760332e-07, D=2.9539124192390527e-07, B=1.8810286994442406e-05, F=0.04425857709586365
z=0.9595959595959597 q=-1019.130306213721, c_T=0.0018999999999999996, sigma_T=0.000693778426137104, A=2.9539124192390527e-07, D=2.9851707517177726e-07, B=1.9010396430553494e-05, F=0.04247152785416628
z=0.9696969696969697 q=-863.8728560566633, c_T=0.0018999999999999996, sigma_T=0.0005074643586409289, A=2.985170751717772e-07, D=3.0164290841964925e-07, B=1.921050586666458e-05, F=0.0406190842287986
z=0.9797979797979799 q=-724.2019470698787, c_T=0.0018999999999999996, sigma_T=0.00036347899442979993, A=3.0164290841964925e-07, D=3.047687416675213e-07, B=1.9410615302775672e-05, F=0.0387001131808186
z=0.98989898989899 q=-664.6365509084919, c_T=0.0018999999999999996, sigma_T=0.000309, A=3.0476874166752124e-07, D=3.078945749153933e-07, B=1.961072473888676e-05, F=0.0367073805208153
69) Slice: [16793.029910242367, 16793.029910242367, 16792.736174605576, 16792.207173723018, 16791.450823129155, 16790.46923395595, 16789.2627604187, 16787.830896363943, 16786.17252037346, 16784.285930326052, 16782.1687872298, 16779.81801502344, 16777.229682721467, 16774.39888813617, 16771.319658005734, 16767.98487463431, 16764.386233462086, 16760.51422965534, 16756.35816557492, 16751.906165726432, 16747.145182329965, 16742.0609735368, 16736.638037698824, 16730.85949054646, 16724.70687669885, 16718.159911321385, 16711.196150679036, 16703.790590938865, 16695.91519266952, 16687.538324624296, 16678.62411563762, 16669.131698990775, 16659.01433028724, 16648.218358012553, 16636.682025156188, 16624.33407955899, 16611.092168607556, 16596.86098885967, 16581.53015141218, 16564.971707681994, 16547.037256463875, 16527.554520926853, 16506.323243620525, 16483.110199315746, 16457.64307083509, 16429.602873328542, 16398.61454904299, 16364.23528895868, 16325.940071990644, 16283.103850959928, 16234.979764301035, 16180.672723903144, 16119.10773622319, 16048.992372575154, 15968.772935390867, 15876.584094425043, 15770.192119129355, 15646.93234581384, 15503.642239531115, 15336.592421294012, 15141.419464939356, 14913.066313318048, 14645.739067422817, 14332.89335140557, 13967.273192301007, 13541.057250046175, 13046.257280331256, 12475.448667566932, 11793.31776718643, 10922.580446208001, 9788.723380850077, 7671.515261336263, 5993.929867656154, 5381.609725814732, 5113.8814332881875, 4922.313050011433, 4755.403824145124, 4601.057804563661, 4454.741440244308, 4313.8706958526745, 4176.451216539703, 4040.764394388903, 3906.009968268169, 3774.444521719564, 3645.9013456971907, 3519.68918625698, 3395.2426028092254, 3272.121239842309, 3150.0276926586566, 3028.9727603351853, 2909.8896933222118, 2790.8600621158753, 2671.0752448028197, 2550.377706803685, 2428.733579137248, 2306.1322984957146, 2182.570800783752, 2058.0129295166244, 1932.045313258019, 1800.0]
	0)iter: [16793.029910242367, 16793.029910242367, 16792.736174605576, 16792.207173723018, 16791.450823129155, 16790.46923395595, 16789.2627604187, 16787.830896363943, 16786.17252037346, 16784.285930326052, 16782.1687872298, 16779.81801502344, 16777.229682721467, 16774.39888813617, 16771.319658005734, 16767.98487463431, 16764.386233462086, 16760.51422965534, 16756.35816557492, 16751.906165726432, 16747.145182329965, 16742.0609735368, 16736.638037698824, 16730.85949054646, 16724.70687669885, 16718.159911321385, 16711.196150679036, 16703.790590938865, 16695.91519266952, 16687.538324624296, 16678.62411563762, 16669.131698990775, 16659.01433028724, 16648.218358012553, 16636.682025156188, 16624.33407955899, 16611.092168607556, 16596.86098885967, 16581.53015141218, 16564.971707681994, 16547.037256463875, 16527.554520926853, 16506.323243620525, 16483.110199315746, 16457.64307083509, 16429.602873328542, 16398.61454904299, 16364.23528895868, 16325.940071990644, 16283.103850959928, 16234.979764301035, 16180.672723903144, 16119.10773622319, 16048.992372575154, 15968.772935390867, 15876.584094425043, 15770.192119129355, 15646.93234581384, 15503.642239531115, 15336.592421294012, 15141.419464939356, 14913.066313318048, 14645.739067422817, 14332.89335140557, 13967.273192301007, 13541.057250046175, 13046.257280331256, 12475.448667566932, 11793.31776718643, 10922.580446208001, 9788.723380850077, 7671.515261336263, 5993.929867656154, 5381.609725814732, 5113.8814332881875, 4922.313050011433, 4755.403824145124, 4601.057804563661, 4454.741440244308, 4313.8706958526745, 4176.451216539703, 4040.764394388903, 3906.009968268169, 3774.444521719564, 3645.9013456971907, 3519.68918625698, 3395.2426028092254, 3272.121239842309, 3150.0276926586566, 3028.9727603351853, 2909.8896933222118, 2790.8600621158753, 2671.0752448028197, 2550.377706803685, 2428.733579137248, 2306.1322984957146, 2182.570800783752, 2058.0129295166244, 1932.045313258019, 1800.0]
E=95.64482392460125, tm1=7.135678391959799e-05
z=0.010101010101010102 q=471736.8272444203, c_T=0.00202, sigma_T=54.09999999999999, A=3.412983283765768e-08, D=1.0238949851297302e-07, B=3.426207495732611e-07, F=0.0034634428267384006
z=0.020202020202020204 q=471718.59325879766, c_T=0.00202, sigma_T=54.09999999999999, A=1.0238949851297302e-07, D=1.706491641882884e-07, B=6.852414991465222e-07, F=0.006926768314353727
z=0.030303030303030304 q=471685.7442881455, c_T=0.00202, sigma_T=54.09999999999999, A=1.7064916418828838e-07, D=2.389088298636037e-07, B=1.0278622487197832e-06, F=0.010389835493342063
z=0.04040404040404041 q=471638.7533073904, c_T=0.00202, sigma_T=54.09999999999999, A=2.3890882986360377e-07, D=3.0716849553891906e-07, B=1.3704829982930444e-06, F=0.013852509725809719
